cmdline:'/home/user/deepstate/kdl222_cs49.....--no_fork --min_log_level 2', bin:'/home/user/deepstate/kdl222_cs499_sp20/assignment2/starRuler/string_H' inputDir:'/tmp/deepstate_fake_seedav8u1rm3', fuzzStdin:false, mutationsPerRun:6, timeout:10, mutationsMax:0, threadsMax:1
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Size:581 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4361
Size:5146 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4362
Size:581 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4363
Size:8066 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4364
Size:581 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4365
Size:6762 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4366
Size:4 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4367
Size:6852 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4368
Size:4 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4369
Size:6805 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4370
Size:4 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4371
Size:4745 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4372
Size:4 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4373
Size:4751 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4374
Size:4 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4375
Size:4751 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4376
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4377
Size:4751 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4378
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4379
Size:4751 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4380
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4381
Size:4750 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4382
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4383
Size:8117 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4384
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4385
Size:7 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4386
Size:12 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4387
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4388
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4389
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4391
Size:78 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4392
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4393
Size:2670 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/22, Tot:0/0/0/348/12/4415
Size:53 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4416
Size:3 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4417
Size:781 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/7, Tot:0/0/0/348/12/4424
Size:85 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4425
Size:73 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4426
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4427
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4428
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4429
Size:7 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4430
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4432
Size:20 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4433
